Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Resident Evil 5,PlayStation 4,69,14,7.2,358,Capcom,M,Action Adventure
Song of the Deep,PC,71,14,7.1,30,Insomniac Games,E,Action Adventure
Song of the Deep,Xbox One,66,12,7.2,26,Insomniac Games,E,Action Adventure
Song of the Deep,PlayStation 4,69,41,7.1,47,Insomniac Games,E,Action Adventure
Carmageddon: Max Damage,Xbox One,52,15,7.2,23,Stainless Games,M,Racing
Carmageddon: Max Damage,PlayStation 4,51,28,5.7,62,Stainless Games,M,Racing
Romance of the Three Kingdoms XIII,PlayStation 4,67,22,7.1,30,Koei Tecmo Games,E10+,Strategy
7 Days to Die,Xbox One,35,17,5.8,116,"Iron Galaxy Studios, The Fun Pimps",M,Action
7 Days to Die,PlayStation 4,45,16,6.1,257,"Iron Galaxy Studios, The Fun Pimps",M,Action
Zero Escape: Zero Time Dilemma,PlayStation Vita,83,31,8.2,149,"Spike Chunsoft, Chime",M,Adventure
Samurai Warriors Chronicles 3,PlayStation Vita,70,9,7.9,15,Omega Force,T,Action
Samurai Warriors Chronicles 3,3DS,63,13,6.5,11,Omega Force,T,Action
Terraria,Wii U,,,7.3,12,"Engine Software, Re-Logic",T,Action
Paragon,PlayStation 4,,,6.6,150,Epic Games,T,Strategy
Dead Island: Definitive Collection,Xbox One,67,10,5.5,44,Techland,M,Miscellaneous
Dead Island: Definitive Collection,PlayStation 4,63,32,6.6,108,Techland,M,Miscellaneous
LEGO Marvel's Avengers,Wii U,69,4,7.2,20,TT Games,E10+,Action Adventure
Zombi,Xbox One,72,18,6.3,61,"Ubisoft Montpellier, Straight Right",M,Action
DreamWorks Kung Fu Panda: Showdown of Legendary Legends,PlayStation 3,,,6.2,5,"Vicious Cycle, Little Orbit",E10+,Action
DreamWorks Kung Fu Panda: Showdown of Legendary Legends,Xbox 360,,,6.4,5,"Vicious Cycle, Little Orbit",E10+,Action
DreamWorks Kung Fu Panda: Showdown of Legendary Legends,Xbox One,68,4,4.9,14,"Vicious Cycle, Little Orbit",E10+,Action
DreamWorks Kung Fu Panda: Showdown of Legendary Legends,Wii U,,,6.1,9,"Vicious Cycle, Little Orbit",E10+,Action
Dynasty Warriors 8 Empires,PlayStation Vita,70,15,7.5,11,Omega Force,T,Action
Barbie and Her Sisters: Puppy Rescue,3DS,,,tbd,,"Torus Games, Little Orbit",E,Action
Barbie and Her Sisters: Puppy Rescue,PlayStation 3,,,2.5,4,"Torus Games, Little Orbit",E,Action
Barbie and Her Sisters: Puppy Rescue,Wii,,,tbd,,"Torus Games, Little Orbit",E,Action
Barbie and Her Sisters: Puppy Rescue,Wii U,,,4.1,16,"Torus Games, Little Orbit",E,Action
Deadpool,Xbox One,,,5.8,32,"High Moon Studios, Iron Galaxy Studios",M,Action
Deadpool,PlayStation 4,60,11,6.3,127,"High Moon Studios, Iron Galaxy Studios",M,Action
Assassin's Creed Syndicate,PC,74,14,6.6,1122,Ubisoft Quebec,M,Historic
Monster High: New Ghoul in School,PlayStation 3,,,tbd,,"Torus Games, Little Orbit",E,Action
Monster High: New Ghoul in School,Wii,,,tbd,,"Torus Games, Little Orbit",E,Action
Monster High: New Ghoul in School,Wii U,,,4.3,6,"Torus Games, Little Orbit",E,Action
Monster High: New Ghoul in School,Xbox 360,,,tbd,,"Torus Games, Little Orbit",E,Action
Monster High: New Ghoul in School,3DS,,,tbd,,"Torus Games, Little Orbit",E,Action
Adventure Time: Finn & Jake Investigations,Wii U,,,6.9,10,Vicious Cycle,E10+,Adventure
Adventure Time: Finn & Jake Investigations,Xbox 360,,,6.9,8,Vicious Cycle,E10+,Adventure
Adventure Time: Finn & Jake Investigations,PlayStation 4,,,6.7,17,Vicious Cycle,E10+,Adventure
Adventure Time: Finn & Jake Investigations,3DS,,,tbd,,Vicious Cycle,E10+,Adventure
Assassin's Creed Syndicate,PlayStation 4,76,86,6.9,2110,Ubisoft Quebec,M,Historic
Assassin's Creed Syndicate,Xbox One,78,22,6.5,590,Ubisoft Quebec,M,Historic
Gravity Falls: Legend of the Gnome Gemulets,3DS,46,4,6.8,18,Ubisoft Osaka,E,Action
Transformers: Devastation,Xbox One,75,25,7.5,68,PlatinumGames,T,Action
Transformers: Devastation,Xbox 360,,,7.6,29,PlatinumGames,T,Action
Transformers: Devastation,PlayStation 4,77,50,7.5,225,PlatinumGames,T,Action
Transformers: Devastation,PlayStation 3,,,6.4,24,PlatinumGames,T,Action
Transformers: Devastation,PC,74,9,7.3,80,PlatinumGames,T,Action
Uncharted: The Nathan Drake Collection,PlayStation 4,86,78,8.5,3067,Bluepoint Games,T,Miscellaneous
