Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
A Way Out,Xbox One,2018.0,Action Adventure,Electronic Arts  ,0.17,0.05,0.0,0.02,0.24,79.0,26.0,7.8,216.0,Hazelight,M
Attack on Titan 2,Xbox One,2018.0,Action,Koei Tecmo  ,0.08,0.0,0.0,0.01,0.09,74.0,10.0,6.8,19.0,Omega Force,M
Attack on Titan 2,PlayStation 4,2018.0,Action,Koei Tecmo  ,0.09,0.04,0.06,0.03,0.22,75.0,50.0,7.5,73.0,Omega Force,M
Attack on Titan 2,Switch,2018.0,Action,Koei Tecmo  ,0.12,0.02,0.08,0.02,0.23,72.0,14.0,7.1,50.0,Omega Force,M
Titan Quest,Xbox One,2018.0,Role-Playing,THQ Nordic  ,0.02,0.0,0.0,0.0,0.02,66.0,9.0,6.8,20.0,THQ Nordic,T
Titan Quest,PlayStation 4,2018.0,Role-Playing,THQ Nordic  ,0.02,0.0,0.0,0.0,0.02,55.0,14.0,5.9,52.0,THQ Nordic,T
Devil May Cry HD Collection,Xbox One,2018.0,Miscellaneous,Capcom  ,0.04,0.0,0.0,0.0,0.04,71.0,9.0,8.4,86.0,"Pipeworks Software, Inc., NeoBards Entertainment",M
Devil May Cry HD Collection,PlayStation 4,2018.0,Miscellaneous,Capcom  ,0.1,0.06,0.02,0.03,0.21,60.0,27.0,7.9,207.0,"Pipeworks Software, Inc., NeoBards Entertainment",M
Past Cure,PlayStation 4,2018.0,Action,Phantom 8 Studio  ,0.02,0.0,0.0,0.0,0.03,37.0,22.0,4.7,52.0,Phantom 8,M
Past Cure,Xbox One,2018.0,Action,Phantom 8 Studio  ,0.02,0.0,0.0,0.0,0.02,34.0,8.0,6.0,24.0,Phantom 8,M
Metal Gear Survive,Xbox One,2018.0,Action Adventure,Konami Digital Entertainment  ,0.05,0.01,0.0,0.01,0.08,62.0,14.0,2.0,203.0,Konami,M
Metal Gear Survive,PlayStation 4,2018.0,Action Adventure,Konami Digital Entertainment  ,0.08,0.06,0.05,0.03,0.23,60.0,70.0,1.4,1072.0,Konami,M
Senran Kagura Burst Re:Newal,PlayStation 4,2019.0,Action,Xseed Games  ,0.0,0.0,0.04,0.0,0.04,65.0,19.0,5.1,54.0,Honey Parade Games,M
Dynasty Warriors 9,PlayStation 4,2018.0,Action,Tecmo Koei  ,0.1,0.06,0.17,0.03,0.37,65.0,49.0,4.0,152.0,Omega Force,T
Dynasty Warriors 9,Xbox One,2018.0,Action Adventure,Tecmo Koei  ,0.06,0.01,0.0,0.01,0.08,56.0,13.0,4.1,31.0,"Omega Force, Koei Tecmo Games",T
Monster Hunter: World,Xbox One,2018.0,Role-Playing,Capcom  ,0.67,0.17,0.0,0.09,0.93,90.0,17.0,7.2,460.0,Capcom,T
The Inpatient,PlayStation 4,2018.0,Action Adventure,Sony Interactive Entertainment  ,0.06,0.05,0.0,0.02,0.13,59.0,57.0,5.9,99.0,Supermassive Games,M
One Piece: Pirate Warriors 3 - Deluxe Edition,Switch,2018.0,Action,Bandai Namco Entertainment  ,0.0,0.01,0.05,0.0,0.06,76.0,16.0,8.3,33.0,Koei Tecmo Games,T
Okami HD,PlayStation 4,2017.0,Action Adventure,Capcom  ,0.16,0.12,0.03,0.06,0.36,87.0,39.0,8.2,209.0,Capcom,T
Okami HD,Xbox One,2017.0,Action Adventure,Capcom  ,0.05,0.0,0.0,0.01,0.06,87.0,14.0,8.4,72.0,Capcom,T
Hello Neighbor,Xbox One,2017.0,Action,Gearbox Software  ,0.27,0.11,0.0,0.04,0.42,42.0,13.0,4.7,79.0,tinyBuild,E10+
Axiom Verge,Switch,2017.0,Action Adventure,Thomas Happ Games  ,0.12,0.03,0.0,0.02,0.17,87.0,15.0,8.4,142.0,Tom Happ,E10+
Unbox: Newbie's Adventure,Switch,2017.0,Action,Merge Games  ,0.0,0.01,0.0,0.0,0.01,52.0,7.0,6.1,11.0,Prospect Games,E
Cartoon Network: Battle Crashers,Switch,2017.0,Action,GameMill Entertainment  ,0.04,0.04,0.0,0.01,0.08,,,3.6,15.0,"Torus Games, MADCOW",E10+
Ittle Dew 2+,Switch,2017.0,Role-Playing,Nicalis  ,0.06,0.0,0.0,0.01,0.06,77.0,11.0,7.8,32.0,Ludosity Interactive,E10+
LEGO Marvel Super Heroes 2,Switch,2017.0,Action,Warner Bros. Interactive Entertainment  ,0.31,0.29,0.01,0.06,0.67,76.0,10.0,7.2,72.0,TT Games,E10+
LEGO Marvel Super Heroes 2,PlayStation 4,2017.0,Action,Warner Bros. Interactive Entertainment  ,0.33,0.6,0.0,0.18,1.11,73.0,61.0,7.0,75.0,TT Games,E10+
LEGO Marvel Super Heroes 2,Xbox One,2017.0,Action,Warner Bros. Interactive Entertainment  ,0.32,0.2,0.0,0.05,0.57,74.0,18.0,7.3,28.0,TT Games,E10+
Assassin's Creed Origins,PlayStation 4,2017.0,Action Adventure,Ubisoft  ,1.22,2.11,0.11,0.63,4.06,81.0,63.0,7.2,3001.0,"Ubisoft, Ubisoft Montreal",M
Assassin's Creed Origins,Xbox One,2017.0,Action Adventure,Ubisoft  ,1.34,0.92,0.0,0.22,2.47,85.0,42.0,7.6,826.0,"Ubisoft, Ubisoft Montreal",M
Nights of Azure 2: Bride of the New Moon,Switch,2017.0,Role-Playing,Tecmo Koei  ,0.02,0.02,0.01,0.0,0.06,66.0,8.0,6.6,23.0,Gust,T
Yomawari: Midnight Shadows,PlayStation 4,2017.0,Action Adventure,NIS America  ,0.02,0.0,0.04,0.0,0.06,77.0,23.0,7.0,26.0,Nippon Ichi Software,M
Yomawari: Midnight Shadows,PlayStation Vita,2017.0,Action Adventure,NIS America  ,0.0,0.0,0.03,0.0,0.03,,,8.2,11.0,Nippon Ichi Software,M
Fire Emblem Warriors,3DS,2017.0,Action,Nintendo  ,0.07,0.03,0.04,0.01,0.15,69.0,12.0,8.0,54.0,Omega Force,T
Fire Emblem Warriors,Switch,2017.0,Action,Nintendo  ,0.22,0.14,0.1,0.04,0.51,74.0,72.0,7.8,374.0,Omega Force,T
Bad Apple Wars,PlayStation Vita,2017.0,Adventure,Aksys Games  ,0.02,0.0,0.04,0.01,0.07,78.0,7.0,7.1,7.0,Otomate,T
Friday the 13th: The Game,PlayStation 4,2017.0,Action Adventure,Gun Media  ,0.29,0.09,0.03,0.08,0.48,61.0,16.0,6.4,268.0,"IllFonic, Gun Media",M
Friday the 13th: The Game,Xbox One,2017.0,Action Adventure,Gun Media  ,0.21,0.03,0.0,0.03,0.27,53.0,9.0,6.6,100.0,"IllFonic, Gun Media",M
